category,keyword
positive feedback,awareness
positive feedback,congratulating people
positive feedback,does need improvement
positive feedback,enjoy
positive feedback,extend
positive feedback,feel like im not alone
positive feedback,giving cheers
positive feedback,good
positive feedback,helpful
positive feedback,learning
positive feedback,learns
positive feedback,likes
positive feedback,love
positive feedback,loves
positive feedback,pretty well
others,he will start
others,IDK
others,not beneficial to me
others,not sure
others,only 1 other
others,beneficial to talk with a coach
no comment,b
no comment,n
no comment,n/a
no comment,NA
no comment,No
no comment,No comment
no comment,No feedback
no comment,no improvement
no comment,no improvements
no comment,Not at this time
no comment,not right now
no comment,Not yet
no comment,nothing
needs to provide technical assistance,can not find the group
needs to provide technical assistance,not tech savvy
needs to provide technical assistance,not very comfortable with technology
needs to provide technical assistance,walked through how to do
needs to motivate,not been in the group
needs to motivate,not been in the groups
needs to motivate,forgot about them
needs to motivate,get in there more often
needs to motivate,get on more often
needs to motivate,hard time participating
needs to motivate,not in the group
needs to motivate,not looked at them
needs to motivate,not really looked at the groups
needs to motivate,replied to them
more relevant discussions,diet
more relevant discussions,some relates to her and some does not
more relevant discussions,some topics don’t apply
more activities,needs to have more activity
more participants,more people
change grouping structure,grouping people by age
change grouping structure,group by age
coach issues,terrible at following up
